Título,Precio,Parqueos,Dormitorios,Baños,ID de la propiedad,Tamaño,Enlace
RENTO APARTAMENTO EN EDIFICIO VILA CATORCE Z...,"$ 1,200",2,2,2,DAA43987,54 m2,https://mapainmueble.com/properties/rento-apartamento-en-edificio-vila-catorce-zona-14-daa43987/
Apartamento en zona 14,"$ 2,725",2,2,2,DAA43984,295 m2,https://mapainmueble.com/properties/apartamento-en-zona-14-daa43984/
Apartamento en Zona 14 de 3 habitaciones en ...,"$ 1,650 Mantenimiento incluido",2,3,2.5,DAA43880,139 m2,https://mapainmueble.com/properties/apartamento-en-zona-14-de-3-habitaciones-en-alquiler-daa43880/
RENTO APARTAMENTO PARQUE 14. Zona 14 Vista h...,"$ 1,190",2,2,2,DAA43980,67 m2,https://mapainmueble.com/properties/rento-apartamento-parque-14-zona-14-vista-hacia-las-americas-daa43980/
Apartamento en edificio Casallini Zona 10 am...,$ 750,1,1,2,CAA13644,N/A,https://mapainmueble.com/properties/apartamento-en-edificio-casallini-zona-10-amueblado-1-habitacion-caa13644/
Apartamento en renta en Zona 14 area la Vill...,$ 750,2,2,2,CAA13643,N/A,https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-area-la-villa-terradelfines-2-habitaciones-para-estrenar-caa13643/
Rento Apartamento en Z.14,"$ 1,200",2,2,2,DAA43977,N/A,https://mapainmueble.com/properties/rento-apartamento-en-z14-daa43977/
Apartamento de dos habitaciones en z13,$ 900 Excelente precio,2,2,2,CAA13642,95 m2,https://mapainmueble.com/properties/apartamento-de-dos-habitaciones-en-z13-caa13642/
𝐕𝐈𝐕𝐀𝐋𝐃𝐈 – 𝐙𝐎𝐍𝐀 𝟏𝟒 𝐀𝐏𝐀𝐑𝐓𝐀𝐌𝐄𝐍𝐓𝐎 𝐄𝐍 𝐀𝐋𝐐𝐔𝐈𝐋𝐄𝐑 𝟏𝟔...,"$ 1,500 Negociable",2,3,3.5,DAA43894,163 m2,https://mapainmueble.com/properties/daa43894/
Apartamento en renta Zona 14 Dantorini Ameri...,$ 950,2,2,2,CAA13130,70 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-dantorini-americas-caa13130/
"Hermoso apartamento en alquiler, Casa Once Z...",$ 900,1,1,1.5,CAA13638,N/A,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-casa-once-zona-14-caa13638/
FABULOSO APARTAMENTO EN RENTA  ZONA 14  🤩  Z...,"$ 2,200",2,2,2.5,DAA43939,160 m2,https://mapainmueble.com/properties/fabuloso-apartamento-en-renta-zona-14-z14saninesale-daa43939/
ESPLENDIDO APARTAMENTO EN RENTA  EN ZONA 14 ...,"$ 2,200",N/A,2,2,CAA13631,295 m2,https://mapainmueble.com/properties/esplendido-apartamento-en-renta-en-zona-14-z14tadeusale-caa13631/
Depto en alquiler en zona 14,$ 875,1,1,1,DAA43936,72 m2,https://mapainmueble.com/properties/depto-en-alquiler-en-zona-14-daa43936/
Apartamento en Alquiler Parque 14,$ 900 +IVA,1,1,1,DAA43929,44 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43929/
Apartamento en Alquiler Parque 14,$ 900 +IVA,1,1,1,DAA43928,44 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43928/
Apartamento en Renta Zona 14 codigo.DA34713,$ 860,1,1,1,DAA43917,44 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoda34713-daa43917/
Apartamento en Renta Zona 14 codigo.DA34712,$ 860,1,1,1,DAA43915,44 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoda34712-daa43915/
Apartamento para Estrenar en Renta Sobre Ave...,$ 860 USD$,1,1,1,DAA43907,44 m2,https://mapainmueble.com/properties/apartamento-para-estrenar-en-renta-sobre-avenida-las-americas-zona-14-daa43907/
Apartamento Nuevo en Renta Seghería Zona 14,"$ 1,000",2,3,2.5,DAA43897,136 m2,https://mapainmueble.com/properties/apartamento-nuevo-en-renta-segheria-zona-14-daa43897/
APARTAMENTO EN RENTA ZONA 14,"$ 2,800",3,3,N/A,DAA43893,N/A,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43893/
Apartamento en Renta Zona 14 CODIGO.CA34703,"$ 1,500",2,2,2.5,CAA13612,193 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-codigoca34703-caa13612/
"Alquiler de Apartamento Semi-amueblado, Plaz...","$ 1,700",2,3,3,DAA43802,136 m2,https://mapainmueble.com/properties/alquiler-de-apartamento-semi-amueblado-plaza-segheria-daa43802/
ALQUILO APARTAMENTO PARQUE 14 PARA ESTRENAR ...,$ 890,1,1,1,DAA43887,44 m2,https://mapainmueble.com/properties/alquilo-apartamento-parque-14-para-estrenar-1-dormitorio-ideal-para-airbnb-daa43887/
ALQUILO APARTAMENTO PARQUE 14 PARA ESTRENAR ...,$ 890,1,1,1,DAA43883,44 m2,https://mapainmueble.com/properties/alquilo-apartamento-parque-14-para-estrenar-1-dormitorio-ideal-para-airbnb-daa43883/
Alquiler de lujoso Apartamento amueblado en ...,"$ 2,500 mantenimiento incluido",2,3,3.5,DAA43878,237 m2,https://mapainmueble.com/properties/alquiler-de-lujoso-apartamento-amueblado-en-bellagio-daa43878/
Zona 14 Tiffany,"$ 2,800 incluye iva.",3,3,2.5,CAA13603,200 m2,https://mapainmueble.com/properties/zona-14-tiffany-caa13603/
Apartamento en Renta Zona 14,"$ 1,620 $",2,3,3,DAA33805,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-amueblado-o-sin-muebles-en-zona-14-DAA33805/
Amplio Apartamento en Renta en Zona 14,"$ 2,959 $",2,2,2,DAA43865,295 m2,https://mapainmueble.com/properties/amplio-apartamento-en-renta-en-zona-14-daa43865/
"Apartamento Amueblado en alquiler, Edificio ...","$ 2,500 mantenimiento incluido",3,3,3,DAA43848,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-alquiler-edificio-bellagio-zona-14-daa43848/
SEGHERIA ZONA 14 | APARTAMENTO SEMI AMUEBLAD...,"$ 1,700",2,3,2,DAA43861,137 m2,https://mapainmueble.com/properties/segheria-zona-14-apartamento-semi-amueblado-en-renta-daa43861/
RENTO APARTAMENTO DE 3 HABS EN ATTICA ZONA 1...,"$ 1,250",2,3,2,DAA43855,139 m2,https://mapainmueble.com/properties/rento-apartamento-de-3-habs-en-attica-zona-14-daa43855/
Apartamento en renta o venta en Zona 14 (Sec...,"$ 1,150 (Mantto incluido)",2,3,2,DAA43852,88 m2,https://mapainmueble.com/properties/apartamento-en-renta-o-venta-en-zona-14-daa43852/
RENTO APARTAMENTO DE 2 HABITACIONES EN EDIFI...,"$ 2,200",2,2,2,DAA43846,295 m2,https://mapainmueble.com/properties/rento-apartamento-de-2-habitaciones-en-edificio-tadeus-zona-14-daa43846/
SEGHERIA ZONA 14 | APARTAMENTO SEMI AMUEBLAD...,"$ 1,700",2,3,2,DAA43842,137 m2,https://mapainmueble.com/properties/segheria-zona-14-apartamento-semi-amueblado-en-renta-daa43842/
"Apartamento en Tadeus, Zona 14","$ 2,200 Más mantenimiento e IVA",2,2,2.5,DAA43839,295 m2,https://mapainmueble.com/properties/apartamento-en-tadeus-zona-14-daa43839/
"Hermoso apartamento en alquiler, Tadeus Zona...","$ 2,200",2,2,2.5,CAA13598,295 m2,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-tadeus-zona-14-caa13598/
PROXIMAMENTE APARTAMENTO  EN RENTA ZONA 14 ⭐,"$ 2,200",2,2,2.5,DAA43836,160 m2,https://mapainmueble.com/properties/proximamente-apartamento-en-renta-zona-14-daa43836/
"Hermoso apartamento en alquiler, Pacífica Pl...","$ 2,000",2,4,2.5,CAA13594,N/A,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-pacifica-plaza-zona-14-caa13594/
"Hermoso apartamento en alquiler, Aoki, Zona ...",$ 775,3,1,1.5,CAA13577,N/A,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-aoki-zona-14-caa13577/
"Lindo apartamento para estrenar en alquiler,...","$ 2,350",2,3,3.5,CAA13576,169 m2,https://mapainmueble.com/properties/lindo-apartamento-para-estrenar-en-alquiler-vistana-zona-14-caa13576/
SEGHERIA ZONA 14 | APARTAMENTO SEMI AMUEBLAD...,"$ 1,700",2,3,2,DAA43823,132 m2,https://mapainmueble.com/properties/segheria-zona-14-apartamento-semi-amueblado-en-renta-daa43823/
PARQUE 14 APTO. EN RENTA DE UNA HABITACIÓN,$ 850,1,1,1,DAA43822,56 m2,https://mapainmueble.com/properties/parque-14-apto-en-renta-de-una-habitacion-daa43822/
Alquilo apartamento para estrenar en Zona 14,$ 875 Mantenimiento incluido,1,1,1,CAA13573,44 m2,https://mapainmueble.com/properties/alquilo-apartamento-para-estrenar-en-zona-14-caa13573/
Se alquila amplio apartamento en La Mirage z...,"$ 2,800",2,4,4,DAA43819,275 m2,https://mapainmueble.com/properties/se-alquila-amplio-apartamento-en-la-mirage-zona-14-daa43819/
APARTAMENTO EN RENTA ZONA 14,"$ 2,200 + Mantenimiento",2,2,2.5,DAA43818,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43818/
Apto en renta en ECHO z10,"$ 2,500 Ma IVA",2,2,2.5,DAA43810,146 m2,https://mapainmueble.com/properties/apto-en-renta-en-echo-z10-daa43810/
🏡 Apartamento en Renta Semi Amoblado – Ideal...,$ 860,1,1,1,DAA43804,44 m2,https://mapainmueble.com/properties/apartamento-en-renta-semi-amoblado-ideal-para-airbnb-zona-14-daa43804/
Apartamento en Zona 14,$ 900,1,1,1,DAA43796,58 m2,https://mapainmueble.com/properties/apartamento-en-zona-14-daa43796/
apto en renta ECHO z14,"$ 5,000 Más IVA",3,3,3.5,DAA43794,350 m2,https://mapainmueble.com/properties/apto-en-renta-echo-z14-daa43794/
PARQUE 14 APTO. EN RENTA DE UNA HABITACIÓN,$ 850 Mant Incluido,1,1,1,DAA43778,56 m2,https://mapainmueble.com/properties/parque-14-apto-en-renta-de-una-habitacion-daa43778/
Apartamento en Renta en Zona 14,"$ 2,965",2,2,2,DAA43776,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-daa43776/
"Apartamento en renta, zona 14, Vila Catorce ...","$ 1,192 ",2,3,2,CAA13561,82 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-vila-catorce-de-3-habitaciones-nuevo-caa13561/
"Apartamentos en renta, Zona 14, Vila 14 Nuev...","$ 994 ",2,2,2,CAA13560,62 m2,https://mapainmueble.com/properties/apartamentos-en-renta-zona-14-vila-14-nuevos-caa13560/
Rento amplio apartamento de 2 niveles en Zon...,$ 820 Inc mant,1,1,1,DAA43769,100 m2,https://mapainmueble.com/properties/rento-amplio-apartamento-de-2-niveles-en-zona-14-ubicacion-privilegiada-frente-a-plaza-etu-daa43769/
Apartamento en Alquiler en TerraDelfines zon...,$ 700,1,1,2,DAA43763,N/A,https://mapainmueble.com/properties/apartamento-en-alquiler-en-terradelfines-zona-14-daa43763/
Apartamento amueblado en alquiler Tiffany Qu...,"$ 1,800",2,2,2,DAA43758,125 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-alquiler-tiffany-quinta-zona-14-daa43758/
Apartamento en renta zona 14 la villa / Vila...,$ 700,1,1,1,DAA43756,43 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-vila-catorce-daa43756/
Zona 14 • Apartamento en renta • Edificio Pa...,$ 850 1 habitación,1,1,1,DAA43754,44 m2,https://mapainmueble.com/properties/zona-14-apartamento-en-renta-edificio-parque-14-daa43754/
Zona 14 • Apartamento en renta • Edificio Ca...,$ 900 1 habitación,1,1,1.5,DAA43751,N/A,https://mapainmueble.com/properties/zona-14-apartamento-en-renta-edificio-casa-once-amueblado-daa43751/
Apartamento NUEVO en Renta,$ 905,1,1,1,DAA43749,56 m2,https://mapainmueble.com/properties/apartamento-nuevo-en-renta-daa43749/
APARTAMENTO EN EDIFICIO PARQUE 14,"$ 1,400 incluye mantenimiento e I",2,3,2,DAA43746,120 m2,https://mapainmueble.com/properties/apartamento-en-edificio-parque-14-daa43746/
RENTO APARTAMENTO FULL AMUEBLADO EN ZONA 14 ...,"$ 1,950 mantto e IVA incluido",2,2,2.5,CAA13549,228 m2,https://mapainmueble.com/properties/rento-apartamento-full-amueblado-en-zona-14-edificio-quinta-avenida-caa13549/
Zona 14 apartamento en renta Parque 14,$ 850,1,1,1,DAA43745,44 m2,https://mapainmueble.com/properties/zona-14-apartamento-en-renta-daa43745/
RENTO APARTAMENTO EN TADEUS ZONA 14,"$ 2,200",2,2,2.5,CAA13546,295 m2,https://mapainmueble.com/properties/rento-apartamento-en-tadeus-zona-14-caa13546/
LINDO APARTAMENTO EN ATTICA 2 HABITACIONES,"$ 1,200",2,2,2,DAA43742,107 m2,https://mapainmueble.com/properties/lindo-apartamento-en-attica-2-habitaciones-daa43742/
RENTO APARTAMENTO EN ECHO ZONA 14 CERCA DE A...,"$ 2,500 MATTO INCLUIDO",2,2,2.5,DAA43741,146 m2,https://mapainmueble.com/properties/rento-apartamento-en-echo-zona-14-cerca-de-avenida-las-americas-daa43741/
"Apartamento en Renta, Zona 14","$ 2,700",2,2,2.5,DAA43735,N/A,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43735/
APARTAMENTO AMUEBLADO 5TA AVENIDA 12-45 ZONA...,"$ 1,000",1,1,2,DAA43731,100 m2,https://mapainmueble.com/properties/apartamento-amueblado-5ta-avenida-12-45-zona-14-de-1-hab-agt2493-daa43731/
Apartamento en Renta amoblado en Benevento Z...,$ 900,2,1,1.5,DAA43726,96 m2,https://mapainmueble.com/properties/apartamento-en-renta-amoblado-en-benevento-z14-guate-daa43726/
ALQUILER EN EDIFICIO ATTICA,"$ 1,500",2,3,2.5,DAA43720,140 m2,https://mapainmueble.com/properties/alquiler-en-edificio-attica-daa43720/
Apartamento en Alquiler en zona 14 de 3 habi...,"$ 5,600 Mantenimiento incluido",3,3,3.5,DAA43717,342 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-en-zona-14-de-3-habitaciones-daa43717/
Alquiler de amplio Apartamento 2 dormitorios...,"$ 2,960",2,2,3,DAA43650,295 m2,https://mapainmueble.com/properties/alquiler-de-amplio-apartamento-2-dormitorios-en-tadeus-zona-14-daa43650/
Zona 14 Europlaza,$ 850 incluye mantenimiento,2,2,2,CAA13529,67 m2,https://mapainmueble.com/properties/zona-14-europlaza-caa13529/
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,950 VER DETALLES",2,2,2.5,DAA43706,228 m2,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43706/
"ALQUILER APARTAMENTO ZONA 14, ECHO","$ 2,500 VER DETALLES",2,2,2.5,DAA43704,146 m2,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-echo-daa43704/
Apartamento de 3 dormitorios ZONA 14 Attica,"$ 1,250 Mas IVA",2,3,2,DAA43681,139 m2,https://mapainmueble.com/properties/apartamento-de-3-dormitorios-zona-14-attica-daa43681/
"Zona 14 Tadeus, alquilo apartamento","$ 2,700 mas IVA",2,2,2.5,DAA43680,295 m2,https://mapainmueble.com/properties/zona-14-tadeus-alquilo-apartamento-daa43680/
RENTO APTO AMUEBLADO 2 HAB Z.14 SANTORINI EU...,$ 900,2,2,2,CAA13519,70 m2,https://mapainmueble.com/properties/rento-apto-amueblado-2-hab-z14-santorini-europlaza-ref6726-70m2-2-hab-2-banos-2-parqueos-900-caa13519/
Ampio apartamento en renta con 2 terrazas y ...,"$ 2,800",2,2,2.5,DAA43677,240 m2,https://mapainmueble.com/properties/ampio-apartamento-en-renta-con-2-terrazas-y-patio-en-zona-14-daa43677/
Amplio Apartamento  en renta  en zona 14,"$ 2,800",2,2,2,DAA43676,240 m2,https://mapainmueble.com/properties/amplio-apartamento-en-renta-en-zona-14-daa43676/
Zona 14 apartamento amueblado,"$ 1,950 con iva incluido",2,2,2.5,DAA43666,228 m2,https://mapainmueble.com/properties/zona-14-apartamento-amueblado-daa43666/
Apartamento en renta Edificio Tadeus zona 14,"$ 2,970",2,2,2.5,DAA43665,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-edificio-tadeus-zona-14-daa43665/
ALQUILO APARTAMENTO AMUEBLADO  Z.14,"$ 1,950 INCLUYE MANTTO E IVA",2,2,2.5,CAA13507,228 m2,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-z14-caa13507/
Apartamento Amueblado en Zona 14,$ 875 IVA incluido,1,1,1,DAA43662,70 m2,https://mapainmueble.com/properties/apartamento-amueblado-de-1-dormitorio-en-zona-14-daa43662/
Apartamento Amueblado en Zona 14,"$ 1,950 IVA incluido",2,2,2,DAA43661,228 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-daa43661/
"Apartamento en Renta en Edificio Tadeus, zon...","$ 2,200 $",2,2,2,CAA13501,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-tadeus-zona-14-ciudad-de-guatemala-caa13501/
Exclusivo  apartamento  en renta Tiffany zon...,"$ 3,000",3,3,2.5,CAA13500,202 m2,https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-tiffany-zona-14-caa13500/
APARTAMENTO ALQUILER ATTICA 2,"$ 1,500",2,2,3.5,DAA43655,193 m2,https://mapainmueble.com/properties/apartamento-alquiler-attica-2-daa43655/
APARTAMENTO EN RENTA ZONA 14 SANTA INES DEL ...,"$ 2,200",2,2,2.5,DAA43641,160 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43641/
APARTAMENTO EN RENTA ZONA 14,"$ 2,200",2,2,2.5,DAA43639,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43639/
Apartamento en Alquiler zona 14 TADEUS,"$ 2,200 Dólares",2,2,2.5,CAA13495,295 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-tadeus-caa13495/
APARTAMENTO EN RENTA ZONA 14  EDIFICIO AOKI ...,$ 775,2,1,1.5,DAA43422,67 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-edificio-la-villa-daa43422/
"Apartamento en renta en Tadeus, zona 14.","$ 2,800",2,2,2.5,DAA43636,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-tadeus-zona-14-daa43636/
Apartamento en Renta Zona 14,"$ 2,200 USD",2,2,2.5,DAA43631,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43631/
APARTAMENTO EN RENTA TADEUS ZONA 14,"$ 2,700 mas iva",2,2,2.5,DAA43629,295 m2,https://mapainmueble.com/properties/apartamento-en-renta-tadeus-zona-14-daa43629/
RENTA APARTAMENTO BENEVENTO,$ 900 AMOBLADO,2,1,1,DAA43626,96 m2,https://mapainmueble.com/properties/renta-apartamento-benevento-daa43626/
Apartamento en ECHO zona 14,"$ 2,500 mant incluido + iva",2,2,2.5,DAA43616,145 m2,https://mapainmueble.com/properties/apartamento-en-echo-zona-14-daa43616/
APARTAMENTO RENTA ZONA 14,"$ 2,200 Mant incluido",2,2,2.5,CAA13492,152 m2,https://mapainmueble.com/properties/apartamento-renta-zona-14-caa13492/
Apartamento en Renta y Venta Zona 14,"$ 2,500",2,2,2.5,DAA43607,146 m2,https://mapainmueble.com/properties/apartamento-en-renta-y-venta-zona-14-daa43607/
Apartamento Amueblado en Renta Zona 14 codig...,$ 900,2,2,1,CAA13491,70 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-codigoca34654-caa13491/
Apartamento en renta zona 14 Área de Las Amé...,"$ 2,200",2,2,2.5,DAA43589,160 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/
Apartamento Amueblado en renta zona 14 Tiffa...,"$ 1,850",2,2,2,DAA43586,125 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-tiffany-5taavenida-daa43586/
APARTAMENTO EN ALQUILER PARQUE 14,"$ 1,200",2,3,2,DAA43570,102 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43570/
APARTAMENTO EN RENTA ZONA 14,"$ 2,200",2,2,2.5,DAA43564,160 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43564/
"Alquiler de apartamento de 3 dormitorios, At...","$ 1,625",2,3,3,DAA42956,139 m2,https://mapainmueble.com/properties/alquiler-de-apartamento-de-3-dormitorios-attica-zona-14-daa42956/
Se renta increíble Pent House en AVITA zona ...,"$ 7,500",4,4,5,DAA43560,809 m2,https://mapainmueble.com/properties/se-renta-increible-pent-house-en-avita-zona-14-daa43560/
Apartamento en Renta zona 14 la Villa,"$ 1,000",2,2,2,DAA43557,106 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-daa43557/
Apartamento amueblado en Renta Zona 14,"$ 1,800",2,2,2.5,DAA43545,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43545/
Apartamento en alquiler amueblado zona 14,$ 900,2,2,2,DAA43541,120 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-amueblado-zona-14-daa43541/
Zona 14 cerca Europlaza,$ 875 con  iva y mantenimiento,1,1,1,DAA43533,72 m2,https://mapainmueble.com/properties/zona-14-cerca-europlaza-daa43533/
EN VENTA O RENTA  APARTAMENTO DE 3 HABITACIO...,"$ 1,150 mantenimiento incluido",2,3,2,DAA43530,88 m2,https://mapainmueble.com/properties/en-venta-o-renta-apartamento-de-3-habitaciones-en-la-villa-zona-14-daa43530/
Apartamento en Renta en Santa Inés del Parqu...,"$ 2,200",2,2,2,DAA43526,159 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-santa-ines-del-parque-zona-14-daa43526/
Apartamento en Renta zona 14 la Villa,"$ 1,000",2,2,2,DAA43557,106 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-daa43557/
Apartamento amueblado en Renta Zona 14,"$ 1,800",2,2,2.5,DAA43545,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43545/
Apartamento en alquiler amueblado zona 14,$ 900,2,2,2,DAA43541,120 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-amueblado-zona-14-daa43541/
Zona 14 cerca Europlaza,$ 875 con  iva y mantenimiento,1,1,1,DAA43533,72 m2,https://mapainmueble.com/properties/zona-14-cerca-europlaza-daa43533/
EN VENTA O RENTA  APARTAMENTO DE 3 HABITACIO...,"$ 1,150 mantenimiento incluido",2,3,2,DAA43530,88 m2,https://mapainmueble.com/properties/en-venta-o-renta-apartamento-de-3-habitaciones-en-la-villa-zona-14-daa43530/
Apartamento en Renta en Santa Inés del Parqu...,"$ 2,200",2,2,2,DAA43526,159 m2,https://mapainmueble.com/properties/apartamento-en-renta-en-santa-ines-del-parque-zona-14-daa43526/
Renta de Apartamento amueblado en zona 14,"$ 1,100",1,2,2,DAA43516,90 m2,https://mapainmueble.com/properties/renta-de-apartamento-amueblado-en-zona-14-daa43516/
Apartamento amueblado en renta Edificio zona...,$ 950,N/A,1,1.5,DAA43494,N/A,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-edificio-zona-14-daa43494/
Apartamento elegante Edif Villa Risho zona 1...,"$ 2,200 Mas iva",2,2,2.5,DAA43492,200 m2,https://mapainmueble.com/properties/apartamento-elegante-edif-villa-risho-zona-14-daa43492/
Apartamento amueblado en Zona 14,$ 875,1,1,1,DAA43484,72 m2,https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-daa43484/
"zona 14, apartamento amueblado",$ 900,2,2,1,DAA43478,70 m2,https://mapainmueble.com/properties/zona-14-apartamento-amueblado-daa43478/
VENTA /RENTA AMPLIO APARTAMENTO AMUEBLADO,"$ 2,200 + IVA",2,3,2.5,DAA43476,249 m2,https://mapainmueble.com/properties/amplio-apartamento-amueblado-daa43476/
APARTAMENTO AMUEBLADO 5TA AVE ZONA 14 DE 1 H...,"$ 1,000",1,1,2,DAA43473,100 m2,https://mapainmueble.com/properties/apartamento-amueblado-5ta-ave-zona-14-de-1-hab-agt2493-daa43473/
"Apartamento en Alquiler Edificio Cobella, zo...",$ 875,1,1,1,DAA31487,72 m2,https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-cobella-zona-14-n4-en-directo-02-DAA31487/
"Apartamento en renta, 3 habitaciones en Segh...","$ 1,400 Mantenimiento incluido",2,3,2.5,DAA43430,136 m2,https://mapainmueble.com/properties/apartamento-en-renta-3-habitaciones-en-segheria-zona-14-la-villa-daa43430/
"Apartamento en Tiffany Cañada, Zona 14","$ 3,200 Más mantenimiento e IVA",3,3,2.5,DAA43390,203 m2,https://mapainmueble.com/properties/apartamento-en-tiffany-canada-zona-14-daa43390/
Apartamento en renta zona 14 – Áttica,"$ 1,250 +iva+mant",2,3,2.5,DAA43387,139 m2,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-attica-daa43387/
"Hermoso apartamento en alquiler, Pacífica Pl...","$ 2,000",2,4,2.5,CAA13425,N/A,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-pacifica-plaza-zona-14-caa13425/
